Date,Open,High,Low,Close,Adj Close,Volume
14-07-2017,1002.4,1004.45,996.89,1001.81,1001.81,2102500
17-07-2017,1004.69,1014.75,1003.81,1010.04,1010.04,3712600
18-07-2017,1006,1026.03,1004,1024.45,1024.45,4007600
19-07-2017,1025,1031.59,1022.5,1026.87,1026.87,2964000
20-07-2017,1031.59,1034.97,1022.52,1028.7,1028.7,3097500
21-07-2017,1021.28,1026.1,1011,1025.67,1025.67,2734600
24-07-2017,1028.34,1043.01,1027.43,1038.95,1038.95,3288000
25-07-2017,1038.05,1043.33,1032.48,1039.87,1039.87,2447600
26-07-2017,1043.2,1053.2,1043.2,1052.8,1052.8,2921300
27-07-2017,1069.55,1083.31,1040.18,1046,1046,10991700
28-07-2017,1012.14,1032.85,1001,1020.04,1020.04,7709400
31-07-2017,1019.05,1019.05,987.02,987.78,987.78,7352100
01-08-2017,996.11,1006.4,991.58,996.19,996.19,4572600
02-08-2017,1001.77,1003.21,981.73,995.89,995.89,4070000
03-08-2017,999.47,999.5,984.59,986.92,986.92,3255800
04-08-2017,989.68,991.67,982,987.58,987.58,2730300
07-08-2017,990.65,995,987.14,992.27,992.27,2676600
08-08-2017,994.35,996.28,985.79,989.84,989.84,2902800
09-08-2017,982.6,988,975.27,982.01,982.01,3569700
10-08-2017,976.3,979.86,954.68,956.92,956.92,5684100
11-08-2017,960,970.39,951.38,967.99,967.99,3468000
14-08-2017,978.41,985.5,976.19,983.3,983.3,3172900
15-08-2017,988.9,991.74,982,982.74,982.74,2549300
16-08-2017,981.65,986.46,973.22,978.18,978.18,3132100
17-08-2017,977.84,977.84,960.32,960.57,960.57,3512400
18-08-2017,961.4,965.43,954.65,958.47,958.47,3284800
21-08-2017,957.57,961.2,945.46,953.29,953.29,3164500
22-08-2017,955.52,967.93,955.5,966.9,966.9,2750000
23-08-2017,959.38,962,954.2,958,958,2668300
24-08-2017,957.42,959,941.14,952.45,952.45,5195700
25-08-2017,956,957.62,944.1,945.26,945.26,3324800
28-08-2017,946.54,953,942.25,946.02,946.02,2596700
29-08-2017,940,956,936.33,954.06,954.06,2874300
30-08-2017,958.44,969.41,956.91,967.59,967.59,2904600
31-08-2017,974.7,981,972.76,980.6,980.6,3331500
01-09-2017,984.2,984.5,976.88,978.25,978.25,2535900
05-09-2017,975.4,976.77,960.37,965.27,965.27,2883200
06-09-2017,968.32,971.84,960.6,967.8,967.8,2129900
07-09-2017,974,980.59,972.55,979.47,979.47,2566800
08-09-2017,979.1,979.88,963.47,965.9,965.9,2605300
11-09-2017,974.46,981.94,974.22,977.96,977.96,2186700
12-09-2017,983.27,984.67,975.52,982.58,982.58,2481100
13-09-2017,983.97,1000,979.42,999.6,999.6,3374700
14-09-2017,996.8,998.56,987.74,992.21,992.21,3913300
15-09-2017,993.01,996.25,984.03,986.79,986.79,3760200
18-09-2017,990.4,992.79,968.17,974.19,974.19,3411300
19-09-2017,977.25,978.24,967.46,969.86,969.86,2671100
20-09-2017,971.79,974.81,962.16,973.21,973.21,2888800
21-09-2017,971.31,971.7,962.02,964.65,964.65,2337600
